Game_ID,Game_Genre,Game_Title,Game_Price_in_Dollars,Game_Edition_Score,Game_Popularity_Score,Game_Outlet_Id,Store_Sale_Year,Store_Size,Store_Location_Type,Store_Outlet_Type,Total_Outlet_Sales
GM_FDX22,Arcade,DOTA,20.94928,6.785,0.038455125,10,2016,,Outskirts,Convenience Store,838.908
GM_NCF19,Action,Apex Legends,4.76034,13,0.035102094,35,2019,Small,Residential,Supermarket,1065.28
GM_NCE06,Action,Apex Legends,16.13894,5.825,0.091485232,46,2015,Small,Metropolitan,Supermarket,308.9312
GM_DRC27,Action,PUBG,24.46802,13.8,0.058102469,46,2015,Small,Metropolitan,Supermarket,178.4344
GM_FDE21,Simulation,FIFA,11.65492,12.8,0.022940349,35,2019,Small,Residential,Supermarket,125.8362
GM_NCR42,Action,Apex Legends,3.209,,0.06737681,19,2013,Small,Metropolitan,Convenience Store,163.7868
GM_FDX51,Arcade,Fortnite,19.49452,9.5,0.022148582,18,2021,Medium,Outskirts,Malls,2741.7644
GM_NCR06,Action,Apex Legends,4.24112,12.5,0.006792707,18,2021,Medium,Outskirts,Malls,3068.0064
GM_FDU31,Arcade,FIFA,21.77508,,0.024870035,27,2013,Medium,Outskirts,Department Store,2174.5028
GM_FDU59,Action,Grand Theft Auto,16.42552,5.78,0.096931426,17,2020,,Residential,Supermarket,2085.2856
GM_FDR03,Arcade,Fortnite,20.5098,,0.008693632,27,2013,Medium,Outskirts,Department Store,3791.0652
GM_FDS49,Action,God of War,8.03644,,0.078961284,27,2013,Medium,Outskirts,Department Store,2797.6916
GM_FDD48,Action,Valorant,11.40176,10.395,0.050479463,10,2016,,Outskirts,Convenience Store,1609.9044
GM_NCF18,Action,Apex Legends,19.21504,18.35,0.089485918,17,2020,,Residential,Supermarket,388.1614
GM_NCD43,Action,Apex Legends,10.33964,,0.01594238,27,2013,Medium,Outskirts,Department Store,2180.495
GM_NCD54,Action,Apex Legends,14.33786,21.1,0.029127115,18,2021,Medium,Outskirts,Malls,3435.528
GM_FDY19,Simulation,FIFA,11.66466,19.75,0.069236421,10,2016,,Outskirts,Convenience Store,2150.534
GM_NCY54,Action,Apex Legends,17.39422,8.43,0.178699961,17,2020,,Residential,Supermarket,2527.3768
GM_NCL19,Action,Rocket League,14.4847,15.35,0.015740089,18,2021,Medium,Outskirts,Malls,6768.5228
GM_FDP23,Action,Grand Theft Auto,21.72166,6.71,0.059565107,10,2016,,Outskirts,Convenience Store,373.5138
GM_FDC26,Action,God of War,11.21886,10.195,0.126277921,13,2014,High,Outskirts,Supermarket,358.2004
GM_FDR14,Action,PUBG,5.58298,11.65,0.291322397,10,2016,,Outskirts,Convenience Store,2428.8384
GM_NCS41,Action,Prince of Persia,18.32608,12.85,0.053433908,35,2019,Small,Residential,Supermarket,5815.0972
GM_FDF41,Action,League of Legends,24.8146,12.15,0.131155007,35,2019,Small,Residential,Supermarket,2576.646
GM_FDU34,Action,DOTA,12.49046,18.25,0.075194929,46,2015,Small,Metropolitan,Supermarket,780.3176
GM_DRH11,Action,Uncharted,5.70614,5.98,0.075557965,46,2015,Small,Metropolitan,Supermarket,3134.5864
GM_FDM03,Action,Fortnite,10.66938,12.65,0.122928415,13,2014,High,Outskirts,Supermarket,850.8924
GM_FDS31,Arcade,FIFA,18.10318,13.1,0.044442342,17,2020,,Residential,Supermarket,810.9444
GM_FDJ20,Arcade,FIFA,12.23388,20.7,0.100741569,17,2020,,Residential,Supermarket,3121.2704
GM_FDV44,Arcade,FIFA,18.87188,,0.039651481,27,2013,Medium,Outskirts,Department Store,4815.0656
GM_FDG02,Action,God of War,18.88188,7.855,0.011278673,49,2017,Medium,Metropolitan,Supermarket,6258.52
GM_FDA09,Arcade,DOTA,17.9666,13.35,0,13,2014,High,Outskirts,Supermarket,2117.244
GM_FDT04,Simulation,League of Legends,3.83822,17.25,0.106952661,13,2014,High,Outskirts,Supermarket,796.9626
GM_FDL58,Arcade,DOTA,26.32568,,0.129825457,19,2013,Small,Metropolitan,Convenience Store,4910.275
GM_FDE52,Arcade,PUBG,9.01514,10.395,0.029947409,45,2018,,Residential,Supermarket,892.172
GM_FDW12,Arcade,Valorant,14.48444,8.315,0.035565457,35,2019,Small,Residential,Supermarket,3185.1872
GM_FDL51,Arcade,PUBG,21.49876,20.7,0.047760002,17,2020,,Residential,Supermarket,1062.6168
GM_NCY42,Action,Apex Legends,14.1347,,0.015089147,27,2013,Medium,Outskirts,Department Store,484.7024
GM_FDR07,Action,FIFA,9.68094,21.35,0.07818366,17,2020,,Residential,Supermarket,147.8076
GM_FDN40,Action,League of Legends,15.26998,5.88,0.086632125,45,2018,,Residential,Supermarket,2543.356
GM_FDB35,Arcade,Farcry,9.03804,,0.064306056,27,2013,Medium,Outskirts,Department Store,184.4266
GM_FDA22,Action,Farcry,16.58158,7.435,0.08493006,17,2020,,Residential,Supermarket,4865.6664
GM_NCL06,Action,Apex Legends,26.25594,14.65,0.072066634,46,2015,Small,Metropolitan,Supermarket,1118.544
GM_FDI35,Action,Farcry,18.12634,14,0.041256807,13,2014,High,Outskirts,Supermarket,2302.3364
GM_NCW42,Action,Apex Legends,22.16456,18.2,0.058587558,45,2018,,Residential,Supermarket,2027.361
GM_NCX06,Action,Apex Legends,18.00976,17.6,0.015711434,49,2017,Medium,Metropolitan,Supermarket,3435.528
GM_FDC37,Action,Valorant,10.81938,,0.032714163,27,2013,Medium,Outskirts,Department Store,599.22
GM_FDZ14,Arcade,PUBG,12.23756,7.71,0.047782552,18,2021,Medium,Outskirts,Malls,4604.6728
GM_DRG49,Action,Hitman,24.52486,7.81,0.067560171,49,2017,Medium,Metropolitan,Supermarket,2285.0256
GM_NCG06,Action,Apex Legends,25.62646,16.35,0.029505077,45,2018,,Residential,Supermarket,5580.7356
GM_DRC36,Arcade,Hitman,17.37054,13,0.045076104,45,2018,,Residential,Supermarket,2290.352
GM_FDV21,Action,DOTA,12.48704,,0.299544153,19,2013,Small,Metropolitan,Convenience Store,1207.0954
GM_FDB53,Action,League of Legends,14.86392,13.35,0.139452413,46,2015,Small,Metropolitan,Supermarket,643.1628
GM_DRP47,Action,Uncharted,25.24382,,0.246178257,19,2013,Small,Metropolitan,Convenience Store,1587.933
GM_FDA14,Simulation,PUBG,14.5176,16.1,0.065128984,13,2014,High,Outskirts,Supermarket,5305.0944
GM_DRC24,Action,Hitman,15.26998,17.85,0.024816585,35,2019,Small,Residential,Supermarket,1697.79
GM_FDW21,Arcade,DOTA,10.06358,5.34,0.005988175,18,2021,Medium,Outskirts,Malls,1427.4752
GM_NCH29,Action,Prince of Persia,9.73726,5.51,0.034473804,46,2015,Small,Metropolitan,Supermarket,4693.89
GM_FDU58,Arcade,DOTA,18.86898,6.61,0.028987582,13,2014,High,Outskirts,Supermarket,583.2408
GM_FDY27,Action,PUBG,17.76344,6.38,0.032078604,17,2020,,Residential,Supermarket,3091.9752
GM_FDV56,Arcade,FIFA,10.89596,16.1,0.013593151,35,2019,Small,Residential,Supermarket,2479.4392
GM_FDT59,Simulation,Grand Theft Auto,23.05668,13.65,0.015911432,46,2015,Small,Metropolitan,Supermarket,2716.464
GM_FDB23,Arcade,Farcry,22.55062,19.2,0.005588601,46,2015,Small,Metropolitan,Supermarket,3285.723
GM_FDR49,Action,God of War,4.62376,8.71,0.139510771,45,2018,,Residential,Supermarket,661.8052
GM_FDB03,Arcade,PUBG,24.22538,17.75,0.262504325,10,2016,,Outskirts,Convenience Store,1523.3504
GM_FDN39,Arcade,Fortnite,16.57816,19.35,0,45,2018,,Residential,Supermarket,369.519
GM_FDX02,Action,PUBG,22.31404,,0.056783774,27,2013,Medium,Outskirts,Department Store,690.4346
GM_FDQ16,Action,League of Legends,10.77912,,0.041536279,27,2013,Medium,Outskirts,Department Store,1381.535
GM_FDU35,Action,Grand Theft Auto,9.947,6.44,0.079538056,18,2021,Medium,Outskirts,Malls,622.523
GM_NCT29,Action,Prince of Persia,12.21414,12.6,0.064057374,13,2014,High,Outskirts,Supermarket,1274.3412
GM_FDZ27,Action,PUBG,4.8135,7.935,0.017156262,46,2015,Small,Metropolitan,Supermarket,487.3656
GM_FDN57,Action,DOTA,14.04154,18.25,0.054540968,17,2020,,Residential,Supermarket,1231.73
GM_FDA03,Arcade,PUBG,14.56102,18.5,0.045648973,18,2021,Medium,Outskirts,Malls,3755.112
GM_FDZ36,Arcade,Valorant,18.5724,6.035,0.065917194,45,2018,,Residential,Supermarket,4363.6532
GM_NCU05,Action,Prince of Persia,8.11618,11.8,0.058687359,13,2014,High,Outskirts,Supermarket,1314.2892
GM_FDT39,Arcade,Fortnite,15.11366,6.26,0.009908113,18,2021,Medium,Outskirts,Malls,1805.6496
GM_FDK60,Arcade,Valorant,9.72068,16.5,0.094395215,17,2020,,Residential,Supermarket,2854.9504
GM_FDZ25,Arcade,God of War,16.9279,15.7,0.02777326,17,2020,,Residential,Supermarket,3896.2616
GM_FDG12,Strategy,Valorant,12.21098,6.635,0.006326106,46,2015,Small,Metropolitan,Supermarket,667.7974
GM_DRB01,Action,Hitman,19.1553,,0.143990546,19,2013,Small,Metropolitan,Convenience Store,3185.853
GM_NCC43,Action,Apex Legends,25.06066,,0.09233359,27,2013,Medium,Outskirts,Department Store,2247.7408
GM_FDX13,Action,God of War,24.86092,,0.083661793,19,2013,Small,Metropolitan,Convenience Store,1794.331
GM_FDM22,Arcade,DOTA,5.3064,14,0.042022999,49,2017,Medium,Metropolitan,Supermarket,2530.7058
GM_FDJ03,Arcade,PUBG,4.88692,,0.072044336,27,2013,Medium,Outskirts,Department Store,679.116
GM_FDU14,Action,PUBG,24.9775,17.75,0,18,2021,Medium,Outskirts,Malls,812.276
GM_FDB33,Action,FIFA,15.90262,17.75,0.024404214,10,2016,,Outskirts,Convenience Store,699.09
GM_FDP27,Action,Fortnite,19.0653,8.155,0.119450639,46,2015,Small,Metropolitan,Supermarket,2732.4432
GM_FDO38,Action,God of War,7.66986,17.25,0.121917641,10,2016,,Outskirts,Convenience Store,176.437
GM_FDE28,Arcade,League of Legends,23.20668,,0.131905128,27,2013,Medium,Outskirts,Department Store,4097.3332
GM_FDO27,Arcade,Fortnite,9.53752,6.175,0.179043614,35,2019,Small,Residential,Supermarket,3151.8972
GM_DRL23,Action,Uncharted,10.70938,,0.0152302,27,2013,Medium,Outskirts,Department Store,5942.265
GM_FDS28,Arcade,League of Legends,5.59588,8.18,0.082401592,46,2015,Small,Metropolitan,Supermarket,4843.695
GM_FDX24,Action,Valorant,9.25462,8.355,0.013917468,13,2014,High,Outskirts,Supermarket,2542.0244
GM_FDZ02,Arcade,PUBG,9.63726,6.905,0.038140213,35,2019,Small,Residential,Supermarket,2552.6772
GM_FDL46,Action,DOTA,11.69466,20.35,0.054166556,45,2018,,Residential,Supermarket,1141.847
GM_FDS60,Action,Valorant,17.8766,,0.03229139,27,2013,Medium,Outskirts,Department Store,680.4476
GM_NCO06,Action,Apex Legends,3.30558,19.25,0.108641498,17,2020,,Residential,Supermarket,2085.9514
GM_FDO16,Action,League of Legends,8.4625,5.48,0.015105338,35,2019,Small,Residential,Supermarket,186.424
GM_FDC60,Arcade,Valorant,8.73514,5.425,0.114650377,49,2017,Medium,Metropolitan,Supermarket,3036.048
GM_FDA48,Action,Valorant,22.02114,12.1,0.115342009,18,2021,Medium,Outskirts,Malls,866.8716
GM_FDZ36,Arcade,Valorant,18.6424,,0,27,2013,Medium,Outskirts,Department Store,868.869
GM_FDK27,Action,Fortnite,12.06756,11,0.00896468,45,2018,,Residential,Supermarket,1137.1864
GM_FDW23,Action,Valorant,3.88164,5.765,0.082346376,18,2021,Medium,Outskirts,Malls,928.1252
GM_FDM14,Action,God of War,11.01254,13.8,0.013318,18,2021,Medium,Outskirts,Malls,762.341
GM_FDM14,Action,God of War,10.82254,13.8,0.01325293,13,2014,High,Outskirts,Supermarket,707.0796
GM_FDW60,Arcade,Valorant,17.7837,5.44,0.017131453,18,2021,Medium,Outskirts,Malls,7968.2944
GM_FDE21,Action,FIFA,11.64492,12.8,0.022925594,13,2014,High,Outskirts,Supermarket,1438.128
GM_NCM42,Action,Apex Legends,10.93912,6.13,0.028316137,35,2019,Small,Residential,Supermarket,6976.2524
GM_FDY59,Action,Valorant,9.39462,8.195,0.052562923,10,2016,,Outskirts,Convenience Store,101.2016
GM_DRI49,Action,Hitman,8.13276,14.15,0.1837926,49,2017,Medium,Metropolitan,Supermarket,952.094
GM_FDT28,Action,League of Legends,15.12708,,0.111296158,19,2013,Small,Metropolitan,Convenience Store,1969.4364
GM_FDQ22,Action,DOTA,3.95822,16.75,0.029860799,18,2021,Medium,Outskirts,Malls,5262.4832
GM_FDR60,Simulation,Valorant,7.65328,14.3,0.130617879,49,2017,Medium,Metropolitan,Supermarket,1314.2892
GM_FDC50,Simulation,God of War,9.47094,,0.238990225,19,2013,Small,Metropolitan,Convenience Store,535.3032
GM_FDV24,Action,Valorant,15.1805,5.635,0.103186396,13,2014,High,Outskirts,Supermarket,263.6568
GM_DRF48,Action,Hitman,18.83898,5.73,0,10,2016,,Outskirts,Convenience Store,1402.1748
GM_FDQ47,Arcade,Grand Theft Auto,3.65874,7.155,0.168186376,46,2015,Small,Metropolitan,Supermarket,1693.7952
GM_DRN36,Action,Hitman,9.73752,15.2,0.050255855,49,2017,Medium,Metropolitan,Supermarket,2143.876
GM_NCY06,Action,Apex Legends,12.85968,15.25,0.061173235,35,2019,Small,Residential,Supermarket,2676.516
GM_FDE52,Arcade,PUBG,8.95514,10.395,0.029881147,35,2019,Small,Residential,Supermarket,905.488
GM_NCB54,Action,Prince of Persia,12.69336,8.76,0.050154219,45,2018,,Residential,Supermarket,7370.406
GM_NCF31,Action,Apex Legends,15.26024,9.13,0.051837621,35,2019,Small,Residential,Supermarket,6301.1312
GM_FDJ08,Action,FIFA,18.97846,,0.11013617,27,2013,Medium,Outskirts,Department Store,1597.92
GM_NCC07,Action,Apex Legends,10.60964,19.6,0.024086626,17,2020,,Residential,Supermarket,529.311
GM_NCD19,Action,Apex Legends,5.37614,,0.013115567,27,2013,Medium,Outskirts,Department Store,1969.4364
GM_FDL46,Action,DOTA,11.89466,20.35,0,49,2017,Medium,Metropolitan,Supermarket,1034.6532
GM_FDM20,Action,FIFA,24.62144,10,0.038764258,45,2018,,Residential,Supermarket,1794.331
GM_NCI06,Action,Apex Legends,18.0466,11.3,0.07986963,10,2016,,Outskirts,Convenience Store,2768.3964
GM_DRM11,Action,Uncharted,25.93278,6.57,0.066057085,35,2019,Small,Residential,Supermarket,898.83
GM_NCH07,Action,Apex Legends,15.84604,13.15,0.093044518,18,2021,Medium,Outskirts,Malls,3169.208
GM_FDS23,Action,Grand Theft Auto,12.94994,4.635,0.140771867,13,2014,High,Outskirts,Supermarket,3589.9936
GM_FDO49,Arcade,Assassin Creed,4.91008,10.6,0.033186809,18,2021,Medium,Outskirts,Malls,262.3252
GM_FDS35,Action,Grand Theft Auto,6.52826,9.3,0.11139344,49,2017,Medium,Metropolitan,Supermarket,1910.1802
GM_DRK39,Action,PUBG,8.2525,7.02,0.049966527,45,2018,,Residential,Supermarket,1701.7848
GM_DRI39,Action,PUBG,5.8293,13.8,0.097212998,49,2017,Medium,Metropolitan,Supermarket,2471.4496
GM_FDV04,Arcade,League of Legends,15.80288,7.825,0.150863781,17,2020,,Residential,Supermarket,1331.6
GM_NCN14,Action,Rocket League,18.25608,19.1,0.091900406,35,2019,Small,Residential,Supermarket,1808.9786
GM_FDH08,Action,FIFA,23.1101,7.51,0.017414576,13,2014,High,Outskirts,Supermarket,3315.684
GM_FDS20,Action,FIFA,18.30292,8.85,0.053866912,46,2015,Small,Metropolitan,Supermarket,2618.5914
GM_FDV40,Action,League of Legends,7.54038,17.35,0.014714625,49,2017,Medium,Metropolitan,Supermarket,2769.728
GM_FDZ48,Action,Valorant,11.05544,17.75,0.127140836,10,2016,,Outskirts,Convenience Store,5375.0034
GM_FDS24,Arcade,Valorant,8.75514,,0.061923154,27,2013,Medium,Outskirts,Department Store,2838.9712
GM_FDK44,Action,FIFA,17.43738,16.6,0.122417514,49,2017,Medium,Metropolitan,Supermarket,1743.0644
GM_FDS48,Action,Valorant,15.04708,15.15,0,45,2018,,Residential,Supermarket,5555.4352
GM_FDK26,Arcade,God of War,18.6924,5.46,0.053858378,10,2016,,Outskirts,Convenience Store,619.194
GM_FDD23,Arcade,Farcry,18.85898,9.5,0.048784266,45,2018,,Residential,Supermarket,2120.573
GM_NCH54,Simulation,Apex Legends,16.1492,13.5,0.073080167,17,2020,,Residential,Supermarket,3823.0236
GM_NCP14,Action,Apex Legends,10.65306,8.275,0.184602443,10,2016,,Outskirts,Convenience Store,1360.2294
GM_FDM60,Arcade,Valorant,3.94138,10.8,0.080582001,10,2016,,Outskirts,Convenience Store,3969.4996
GM_FDV24,Action,Valorant,15.1305,5.635,0.103856487,17,2020,,Residential,Supermarket,345.5502
GM_FDH08,Action,FIFA,22.8801,7.51,0.017500079,18,2021,Medium,Outskirts,Malls,585.2382
GM_FDS12,Action,Valorant,12.76362,,0.173275373,27,2013,Medium,Outskirts,Department Store,1010.6844
GM_FDR39,Action,Fortnite,18.06292,,0.083393481,27,2013,Medium,Outskirts,Department Store,161.1236
GM_FDP12,Arcade,Valorant,3.64874,,0.0450476,27,2013,Medium,Outskirts,Department Store,42.6112
GM_DRF60,Action,Hitman,23.64564,,0.051816577,27,2013,Medium,Outskirts,Department Store,3010.7476
GM_FDC09,Arcade,FIFA,10.27332,15.5,0.026297031,35,2019,Small,Residential,Supermarket,6024.1584
GM_FDF50,Action,God of War,19.85768,4.905,0.117808305,18,2021,Medium,Outskirts,Malls,988.713
GM_FDG28,Arcade,League of Legends,24.39144,9.285,0.049270974,35,2019,Small,Residential,Supermarket,239.688
GM_NCE19,Action,Apex Legends,5.54956,8.97,0.093540749,17,2020,,Residential,Supermarket,1374.2112
GM_NCM53,Action,Prince of Persia,10.8228,18.75,0.087105823,10,2016,,Outskirts,Convenience Store,4739.8302
GM_NCN18,Action,Apex Legends,11.09544,8.895,0,49,2017,Medium,Metropolitan,Supermarket,1012.016
GM_FDF32,Action,FIFA,19.91426,16.35,0.068068082,35,2019,Small,Residential,Supermarket,657.8104
GM_FDF11,Arcade,Farcry,23.94538,10.195,0.01761655,13,2014,High,Outskirts,Supermarket,778.986
GM_DRI59,Action,Uncharted,22.52088,9.5,0.040898157,49,2017,Medium,Metropolitan,Supermarket,2336.958
GM_NCG54,Action,Apex Legends,16.95106,12.1,0.079791176,35,2019,Small,Residential,Supermarket,2233.0932
GM_FDM44,Action,FIFA,10.1399,12.5,0.031049674,46,2015,Small,Metropolitan,Supermarket,1661.8368
GM_FDT57,Action,DOTA,23.62248,15.2,0.019112323,18,2021,Medium,Outskirts,Malls,4745.8224
GM_FDV24,Action,Valorant,15.1205,5.635,0.103272336,46,2015,Small,Metropolitan,Supermarket,3124.5994
GM_FDI50,Arcade,God of War,22.78352,,0.054001526,19,2013,Small,Metropolitan,Convenience Store,467.3916
GM_FDS09,Arcade,DOTA,5.12008,8.895,0.081073148,35,2019,Small,Residential,Supermarket,5070.7328
GM_NCC31,Action,Apex Legends,15.45972,,0.019774239,27,2013,Medium,Outskirts,Department Store,540.6296
GM_FDQ07,Arcade,FIFA,21.90456,,0.153038134,19,2013,Small,Metropolitan,Convenience Store,992.7078
GM_FDC22,Arcade,DOTA,19.1882,6.89,0.13720009,17,2020,,Residential,Supermarket,6008.845
GM_FDZ56,Action,FIFA,16.93474,16.25,0.02573698,46,2015,Small,Metropolitan,Supermarket,2105.2596
GM_FDZ40,Action,League of Legends,5.39298,,0.070354806,19,2013,Small,Metropolitan,Convenience Store,5359.69
GM_FDS46,Arcade,DOTA,11.83782,,0.047028483,27,2013,Medium,Outskirts,Department Store,745.696
GM_DRD24,Action,Hitman,14.06154,13.85,0.030857538,45,2018,,Residential,Supermarket,3275.736
GM_FDV45,Action,DOTA,18.91556,16.75,0.045302246,17,2020,,Residential,Supermarket,1701.7848
GM_FDL26,Action,God of War,15.57972,18,0.073341257,45,2018,,Residential,Supermarket,6704.606
GM_FDA56,Action,FIFA,12.30414,9.21,0.00880049,18,2021,Medium,Outskirts,Malls,4119.9704
GM_FDN27,Action,Fortnite,11.81808,20.85,0.039562497,46,2015,Small,Metropolitan,Supermarket,327.5736
GM_FDM20,Action,FIFA,24.50144,10,0.038745948,49,2017,Medium,Metropolitan,Supermarket,780.9834
GM_FDO16,Action,League of Legends,8.2825,5.48,0.015193653,17,2020,,Residential,Supermarket,3630.6074
GM_FDL03,Arcade,Fortnite,19.5611,19.25,0.027075481,35,2019,Small,Residential,Supermarket,317.5866
GM_FDE58,Action,DOTA,11.70124,18.5,0.052068722,46,2015,Small,Metropolitan,Supermarket,231.6984
GM_FDI02,Arcade,God of War,11.22202,,0.114010306,27,2013,Medium,Outskirts,Department Store,133.16
GM_NCC55,Simulation,Apex Legends,3.88848,,0.111641021,19,2013,Small,Metropolitan,Convenience Store,5650.6446
GM_FDR03,Arcade,Fortnite,20.5798,15.7,0.008771522,18,2021,Medium,Outskirts,Malls,2636.568
GM_FDB14,Arcade,God of War,9.2612,20.25,0.103304968,17,2020,,Residential,Supermarket,1272.3438
GM_FDR45,Simulation,DOTA,24.09222,10.8,0.028919203,13,2014,High,Outskirts,Supermarket,324.9104
GM_NCN07,Action,Rocket League,13.00284,18.5,0.034136703,17,2020,,Residential,Supermarket,131.1626
GM_FDM51,Arcade,Fortnite,10.22674,,0.045393469,19,2013,Small,Metropolitan,Convenience Store,260.9936
GM_FDT52,Arcade,League of Legends,24.49144,,0.047199898,27,2013,Medium,Outskirts,Department Store,260.9936
GM_FDL26,Action,God of War,15.42972,18,0.07319282,46,2015,Small,Metropolitan,Supermarket,3690.5294
GM_NCZ42,Action,Apex Legends,23.89248,10.5,0.011287929,46,2015,Small,Metropolitan,Supermarket,1139.1838
GM_DRI47,Action,Uncharted,14.56128,,0.036628533,19,2013,Small,Metropolitan,Convenience Store,1995.4026
GM_FDW40,Arcade,League of Legends,14.11812,14,0.105057952,13,2014,High,Outskirts,Supermarket,1416.8224
GM_FDN34,Arcade,DOTA,16.92132,15.6,0,46,2015,Small,Metropolitan,Supermarket,265.6542
GM_FDS01,Action,God of War,17.83686,11.6,0.017741644,35,2019,Small,Residential,Supermarket,3552.7088
GM_NCG55,Action,Apex Legends,11.62176,16.25,0.039225553,45,2018,,Residential,Supermarket,2406.867
GM_FDC11,Action,Farcry,8.74172,20.5,0.141766029,35,2019,Small,Residential,Supermarket,213.056
GM_FDX35,Arcade,Grand Theft Auto,22.64036,5.035,0.080236064,18,2021,Medium,Outskirts,Malls,2956.152
GM_NCB06,Action,Prince of Persia,16.0392,17.6,0.082332074,46,2015,Small,Metropolitan,Supermarket,153.134
GM_FDR09,Action,DOTA,25.98962,,0.136085739,19,2013,Small,Metropolitan,Convenience Store,1649.8524
GM_FDC53,Action,League of Legends,9.69384,8.68,0.008885672,17,2020,,Residential,Supermarket,3101.2964
GM_FDY45,Action,DOTA,25.52356,17.5,0,13,2014,High,Outskirts,Supermarket,4769.1254
GM_FDA22,Action,Farcry,16.85158,7.435,0.141355941,10,2016,,Outskirts,Convenience Store,3435.528
GM_FDE02,Action,God of War,9.52778,8.71,0.121227447,35,2019,Small,Residential,Supermarket,1133.8574
GM_FDW21,Arcade,DOTA,10.08358,5.34,0.005975976,45,2018,,Residential,Supermarket,2603.278
GM_FDV34,Arcade,DOTA,7.36038,10.695,0.011425458,46,2015,Small,Metropolitan,Supermarket,605.878
GM_FDS59,Arcade,Grand Theft Auto,10.9157,14.8,0.043961689,49,2017,Medium,Metropolitan,Supermarket,2293.0152
GM_NCW17,Action,Prince of Persia,12.78994,18,0.01949589,17,2020,,Residential,Supermarket,119.1782
GM_NCK54,Action,Apex Legends,11.7215,12.15,0.029523375,46,2015,Small,Metropolitan,Supermarket,1929.4884
GM_FDG17,Arcade,League of Legends,24.42486,,0.062751586,19,2013,Small,Metropolitan,Convenience Store,2074.6328
GM_FDG35,Arcade,Farcry,17.30738,21.2,0,17,2020,,Residential,Supermarket,241.6854
GM_FDD08,Action,FIFA,3.78506,8.3,0.059175953,10,2016,,Outskirts,Convenience Store,6795.1548
GM_NCO07,Action,Rocket League,21.1156,9.06,0.009831566,17,2020,,Residential,Supermarket,639.168
GM_FDJ10,Strategy,DOTA,14.22838,5.095,0.216762584,10,2016,,Outskirts,Convenience Store,3248.4382
GM_FDW36,Action,Valorant,10.40622,11.15,0.057254675,17,2020,,Residential,Supermarket,7222.5984
GM_FDW21,Arcade,DOTA,10.10358,5.34,0,10,2016,,Outskirts,Convenience Store,3225.1352
GM_FDY19,Action,FIFA,11.80466,19.75,0.041598912,17,2020,,Residential,Supermarket,3755.112
