hostel_name,City,latitude,longitude,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security,hostel_reviews
Apple For Girls,Indore,22.7641604,75.8855927,3.8,Ashok Nagar; Indore,8Votes,0731 - 4287462,9691113052,137;138 Sch No; near Brilliant Convention Centre; Scheme Number 78; Part II; Scheme 78; Vijay Nagar; Indore; Madhya Pradesh 452010; India,6500,4500,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,good location poor cleanliness warwick hostel great location seattle; close shopping pike place seattle centre; really lets hostel cleanliness; bed linen torn curtains torn floor stains; hostel advertises having balcony reality disappointment; stayed hostel san diego did balcony table chairs; warwick balcony 10 inches.the view rooms view space needle terrific does n't make poor cleanliness; check staff pleasant nor unpleasant decided not sample restaurant; ralph deli street great snacks cafe.there plenty better hostels seattle slightly money warwick choose e.g hostel andra;  
Apple For Girls,Indore,22.6956217,75.866299,2.4,Bhawarkuan; Indore,9Votes,0731 - 4287462,9229238910,Shop No 11; Bhawarkua Main Rd; opposite RR Fuels Bharat Petrol Pump; Tower Square; Ashok Nagar; Indore; Madhya Pradesh 452001; India,NA,5300,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great location great hostel; location makes accessible; blocks pikes market place waterfront block away monorail space needle emp science center.they great little westin bag daughter included rubber duck outlet covers nightlight mini travel aid kit; nice.we did problem maid service contacted management corrected problem quickly;  
Apple Girls Hostel indore,Indore,22.6955749,75.8662635,3.2,Bhawarkuan; Indore,5Votes,0731 - 4222239,0731 - 4222239,11; Bhawarkua main Road; Near SBI ATM Opp. BHARAT PETROL PUMP between bhawarkua and tower square; Tower Chouraha; Ashok Nagar; Indore; Madhya Pradesh 452001; India,7000,6500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great value clean modern style; reception staff friendly gave complimentary upgrade traditional deluxe room check-in; hot tub perfect temperature; wireless access great parking free; not fancy comfortable friendly place stay walking distance uw;  
Aradhna For Girls,Indore,22.686373,75.8682617,2.8,Bhawarkuan; Indore,8Votes,9406623820,9424819061,163; Bhawarkua Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,NA,4900,4400,For Girls,NonAC,Wifi,Mess,Cleaning,Security,awesome location helpful staff clean rooms stayed moore hostel celebrate special occasion budget getaway downtown seattle; friendly staff offered helpful dining suggestions surprised spectacular room fifth floor; amazing close waterfront attractions walking distance; hostel clean fantastic value traveler n't phased quirks come older building;  
Asha Home,Indore,22.75252,75.8989121,3.5,Vijay Nagar; Indore,6Votes,0731 - 4059410,7509938807,42; Maa Ambika Nagar Behind Mangal City Mall Near Vijay Nagar; Bhagyashree Colony; Indore; Madhya Pradesh 452010; India,NA,"5,900","5,000",For Girls,NonAC,Wifi,Mess,Cleaning,Security,great hostel great location stay 9/23-9/24; happy room sheraton priceline 100/night excited able stay hostel arrived hostel did not disappoint; bed pillows comforter comfy clean; bathroom clean nice; location hostel wonderful just short walk 5 blocks pikes market short walk monorail takes directly space needle experience music project emp; lots shopping directly hostel; definitely stay sheraton good deal try luck priceline paying dollar directly hostel;  
Ashirwad Unique For Girls,Indore,22.7230848,75.8652316,2.6,Jail Road; Indore,5Votes,0731 - 2543119,9300262220,C-10; Poddar Plaza; near Shastri Market; New Siyaganj; Indore; Madhya Pradesh 452001; India,NA,2200,3000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,worst hostel experience booked nonsmoking room online weeks advance stay crowne plaza downtown seattle; arrival desk staff asked consider smoking room; completely unacceptable family clearly stated no not consider smoking room mainly concern infant daughter health; particular staff member went speak quietly desk staff member agreed particular room; entered room smell cigarette smoke apparent not imagine desk staff intentionally smoking room informing; days later discovered ashtray matches checked desk discover fact smoking room intentionally not kept reserved nonsmoking room; clothes belongings baby reeked cigarette smoke.in addition appalling lack concern health wishes room not serviced night stay; asked desk manager room not serviced checked housekeeping informed not disturb tag door did not disturb; not case tag inside door entire time anxiously awaiting staff garbage dirty diapers replace towels; desk manager offered pathetic compensation complimentary hostel breakfast family exposed carcinogenic cigarette fumes days not having rooms cleaned; definitely stay crowne plaza hostel;  
Ashiyana For Girls,Indore,22.7121068,75.873815,3.6,Madhumilan Square; Indore,7Votes,0731 - 4096446,0731 - 4096446,Near 5 Kibe Compound; Opposite Anand Petrol Pump Kamla Nehru School; Road; Kibe Compound; Indore; Madhya Pradesh 452007; India,NA,5700,5300,For Girls,NonAC,Wifi,Mess,Cleaning,Security,overpriced not great disappointing property; setting stilts hanging water fabulous ends.the decor odd incongruous impressions seattle; log cabin-ish better suited ski lodge vermont colorado; requested water-facing room check-in told cost 50 dollars paid; having forked 300 dollars night declined took city facing room; irritating colleague booked room rate agent checked right behund got water facing room no extra charge asking notwithstanding odd decor hostel looks tired worn; room abysmally small amazed american travellers accept rooms size knowing spacious hostels general; not large person not problem typically smaller rooms finds eurpoean continent; barely space double bed sharing felt claustrophobic; city-facing rooms railway line busy level crossing clanging bell time train passes; happens day night; rooms need twice size sound-proofed; 3 nights trot chaicago seattle san francisco far worst value 3 cities; lot better price seattle;  
Ashray For Boys,Indore,22.7425687,75.8970056,3.6,Malviya Nagar; Indore,7Votes,9826030203,9826030203,Scheme No. 54; Malviya Nagar; MR 9 Rd; opposite Barfani Dham; Malviya Nagar; Indore; Madhya Pradesh 452008; India,NA,4000,12000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,terrible accomodations ruined impression seattle decided stay hostel hearing work colleague great place stay waterfront seattle; booking stay checked website; talk misleading pictures; got hostel sunday afternoon checked immediately disappointed got hostel hallway room; dirty reminded old college dormitory; hostel room did not overlook water train tracks small clean no drawers clothing no desk work; additionally hostel loaded folks spent weekend hemp fest; not recommend fooled website; heard lady met town dinner highly recommends inn black market alexis wish met earlier think different seattle experience; time; n't waste money edgewater;  
Baba Kripa For Boys,Indore,22.7364123,75.8961313,3.1,Press Complex; Indore,7Votes,9893883789,9893362886,45; Anurag Nagar; behind Press Complex; Sunil Nagar; Krishna Bagh Colony; Indore; Madhya Pradesh 452001; India,NA,1700,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,not world class hostel chose hostel trip girlfriend listed small luxury hostels world registry; disappointed hostels listed slhw perfect way hostel andra truly average; fine average; stayed 5 nights; rooms fine not luxurious; bathroom tiny; problems no works age 25. really need seasoned professional concierge knows doing; just example check early morning departure pay reasonable hefty 5 nights turning away ask desk clerk map airport; proceeds argue need map easy airport downtown seattle; finally says guess print mapquest; no-brainer;  
Bhagyalaxmi For Boys,Indore,22.7488963,75.9000885,3.2,Vijay Nagar; Indore,5Votes,9754084007,9424084007,246; Ward 35; Adarsh Meghdoot Nagar; Indore; Madhya Pradesh 452010; India,3000,2000,1750,For Boys,NonAC,Wifi,Mess,Cleaning,Security,nice hostel expensive parking got good deal stay hostel anniversary; arrived late evening took advice previous reviews did valet parking; check quick easy; little disappointed non-existent view room room clean nice size; bed comfortable woke stiff neck high pillows; not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway; maybe just noisy neighbors; aveda bath products nice; did not goldfish stay nice touch taken advantage staying longer; location great walking distance shopping; overall nice experience having pay 40 parking night;  
Bhagyalaxmi For Girls,Indore,22.7181449,75.8874301,2.6,Geeta Bhawan; Indore,9Votes,9424515236,9926523916,No. 13C; Geeta Bhawan Main Road; Near Geeta Bhawan Mandir; Kailash Park; Manoramaganj; Kailash Park Colony; Indore; Madhya Pradesh 452001; India,NA,8000,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,facilities good location structural issues** stayed property fairly regularly months; generally speaking nice hostel great concierge service location solid.however end staying seattle windy night like 14 mph winds gusts 20 mph not expect sleep; mentioned previous posts window seals interior walls components structure creek loudly rooms wind conditions; stayed towers 12th north 18th south type wind conditions general problem building; observed individuals complain directly desk 2 3 4 morning; overall good hostel stay risk getting windy night different opinion important hostel;  
Bhakti Apartment Only Boys,Indore,22.6844633,75.8639934,3,Bhawarkuan; Indore,7Votes,9826226930,9826226930,Bholaram Ustad Marg; Indore; Madhya Pradesh 452014; India,NA,"4,000",NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,remarkable hostel needed days booked inn based tripadvisor reviews; great hostel; staff professional accomodating; town car service available airport immaculate rooms spacious bathroom great location; not great hostel price great hostel; room facing inner coutyard no problem noise; rooms face st. noisy; location excellent downtown seattle.went attached restaurant bacco breakfast cafe champagne dinner; excellent;  
Bhakti Sidhhant Saraswati For Boys,Indore,22.6942204,75.8676516,3.3,Bhawarkuan; Indore,9Votes,9893166165,9753155637,34; Bhawarkua Main Rd; Professor Colony; Indore; Madhya Pradesh 452001; India,NA,NA,2000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,overrated outdated; location hostel great really; not told doing construction nearby called times; construction going street south north towers; construction started 6:00am 7:00pm; just thought break saturday started 7:00am; rooms outdated; n't nicest westin stayed; stayed hostel location price; original plan stay inn market; n't guarantee water view canceled big mistake; seriously spend extra money stay inn market; hostel beautiful small; westin able check 11:00am happy early check; informed desk clerk birthday upgraded; sent south tower; room really small view building construction; room big stain floor thinking animal urine; n't figure upgrade; room looked like basic room nothing special; went spoke clerk said north tower water views; did inform double beds fine; clerk originally helped came loudly said problem upgraded room rude considering did n't know asking second clerk; apologized confusion informed thought upgrade water view; went second room water view view construction going street; room little dirty night stand layer dust curtains coming; room small stain floor; thing not dated room bedding; hostel seriously needs updated; paid 150 night felt ripped n't recommend spending 100 night; especially noise construction sites; location great tons restaurant walking distance; catch airport shuttle right outside hostel; plan going seattle year time stay inn market;  
Chahat For Boys,Indore,22.6929707,75.8665465,3.2,Bhawarkuan; Indore,6Votes,0731 - 4208174,9098941251,Sch. N. 44-B; Bhawarkua Main Rd; opp. Police Station; Bhavarkuan Square; Aditya Nagar; Siddharth Nagar; Indore; Madhya Pradesh 452001; India,NA,NA,2800,For Boys,NonAC,Wifi,Mess,Cleaning,Security,loved stay; stayed univ; inn 10 days april 2005 thoroughly enjoyed; free parking clean spacious room friendly staff great breakfast snack; loved location; definitely stay;  
Deeksha For Boys,Indore,22.7699632,75.9007514,3.5,Satya Sai Square; Indore,11Votes,8370000930,8839048424,Scheme No 114; 409/416; AB Rd; Part I; Sant Nagar; Indore; Madhya Pradesh 452010; India,"9,500","6,100","5,600",For Boys,NonAC,Wifi,Mess,Cleaning,Security,austin powers decor familiar; hostel seattlewhere sheets 3 different colors hair.but okbecause clean second day.the bathroom friend cringe.she asked brought flip flops sanitizer spray.the dirty shag carpet did n't stop wall.it crawled inches.i star saw shining worse;  
Dev boys hostel,Indore,22.6815121,75.8630311,3.4,Bhawarkuan; Indore,7Votes,0731 - 4087209,0731 - 4087209,32; Sector A; Hargovind Nagar; Pipliya Rao; Indore; Madhya Pradesh 452014; India,9000,7000,6000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,good hostel walls liked room small; staff great.oor.furnishings nice bed comfy.my compalint hear door; tv woke early n't talking loud hear form time time; wanted romantic away privacy;  
DS For Girls,Indore,22.7261507,75.8871804,2.9,Old Palasia; Indore,7Votes,8821972000,8821972000,10; 10; UCO Bank - New Palasia Branch; Gold Stone Building; Lala Banarasilal Dawar Marg; Near 56 Dukan; New Palasia; Indore; Madhya Pradesh 452001; India,NA,NA,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,affordable great location price boyfriend stayed 2 nights weekend getaway seattle 80us night needed; staff friendly room clean; great budget hostel felt safe; parking hostel 8/day; barely spent time room choose hostel convenient location things wanted; walking distance mcdonalds starbucks shopping centres short driving distances space needle emp; thing did n't like uncomfortably flat pillows bed; got corner suite cold went play heating warmed; aside great value; 2 recommendations loves bubble tea try gossip bubbletea chinatown; tons bubble tea vancouver gossip best; thank previous posters board tip vegetarian lovers try araya thai vegetarian cuisine; great price nice atmosphere generous portions;  
Dulce Domum For Girls,Indore,22.7148731,75.8898845,2.8,Geeta Bhawan; Indore,8Votes,0731 - 4099932,9406811265,Geeta Bhavan; Indore; Madhya Pradesh 452001; India,NA,8000,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,unique exceptional; loved stay; husband spent days edgewater amazed; sitting pier felt like ship; lobby having glass walls comfy chairs fireplace; decor unique lodge like look; room small romantic cozy; clean nice fireplace bear stool balcony sat watching ferries ships planes trains seagul ate hand; shuttle great victoria clipper door waterfront; different loved restaurant dinner small late snack; negative point staff kind responsive not good providing directions information area; time stayed alexis loved hostel;  
Empire Girls hostel,Indore,22.6931256,75.8626547,4.1,Bhawarkuan; Indore,6Votes,9826660019,8770718271,Aditya Nagar; Vishnu Puri Colony; Indore; Madhya Pradesh 452014; India,9000,7500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,NA,decent location nice staff disappointing read reviews citysearch trip advisor moore hostel; called book shared bathroom queen room avail; lived/traveled europe year did n't think shared bath problem; fiance shared bathroom toilet shower entire floor stayed room 403; 25 rooms 1 bathroom; yes read correctly 25 rooms 2 people room bathroom; everytime day/night/6am/midnight/noontime tried use shower busy; paper-thin walls no shower toilet far room tiny room dirty sink room smaller-than-reserved-bed miserable; asked change rooms told; tried hostel seattle 150/night impossible; loved town stay hostel; passed homeless/drunk/druggie-looking types way hostel night sure n't felt safe 6'5 fiance arm; wanted warn experience try stay capitol hill belltown close downtown action/shops/mass transit far away enjoy locals seattle;  
Fifth Avenue - Boys Hostel,Indore,22.7532848,75.8936962,3.5,Vijay Nagar; Indore,6Votes,0731 - 2532393,0731 - 2532393,Prestige Vihar; opposite to Life Care Hospital; Scheme No 74C; Vijay Nagar; Indore; Madhya Pradesh 452010; India,6000,5000,4000,For Boys,NonAC,NonWifi,NA,Cleaning,Security,poor value stayed monaco seattle july; nice hostel priced 100- 150 night not; hostel takes beating quotient; experience simply average; nothing exceptional paying 300+ n't ca n't terribly disappointed; wife stayed nicest suites 200/night felt like overpaying; best advice shop; quality-wise league average marriott nice best western;  
Fifth Avenue-For Boys,Indore,22.7614058,75.8871407,4.5,Vijay Nagar; Indore,1Vote,9039003424,8878472141,5; Scheme 78; Main Rd; opp. Prestige Engg. College; Scheme Number 78; Part II; Vijay Nagar; Indore; Madhya Pradesh 452010; India,8000,4000,3500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,fair hostel good location arrived late tired flight nyc; receptionist efficient unfriendly no help luggage; foyer huge bit frayed edges need urgent refurbishment 31st floor sea view lovely room not big think upgrading bathroom floor good scrubbing.we breakfast restuarant good value bettervalue smaller cafe premises; concierges good great tip 50 cent oysters shore cafe happy hour.well placed tourist sites; space needle expensive good tourist talk given; pike market quite good people friendly- loved seattle;  
Girls Paradise Hostel,Indore,22.7516441,75.8951858,3.1,Vijay Nagar; Indore,7Votes,9713662039,9111425587,Vijay Nagar Square; Vijay Nagar; Indore; Madhya Pradesh 452010; India,NA,"6,500",NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,funky boutique hostel different plain; no a/c small tvs minimalist decor; not fancy place right price budget-minded travellers.the biggest problems are:1. parking- hostel no parking no agreement local garages; wind parking nearby 20/day limited access car especially dark.2; neighborhood- blocks pike place market street little rundown little shady dark; street noise awake night summer.3; maintenance- hot water did not work bathroom sink elevator small noisy; 9pm use elevatorall things said not deny value hostel location; just prepared level amenities appropriate money;  
Gokul Residency girls hostel,Indore,22.7559257,75.8889281,4.5,Vijay Nagar; Indore,6Votes,9303099998,9303099998,17 Ff Sector F Sch .54; Scemen No 54; Vijay Nagar; Indore; 09182850970. call meMadhya Pradesh; Scemen No 54; Scheme No 54; Indore; Madhya Pradesh 452001; India,12000,6000,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,enjoyed executive hostel pacific stayed hostel 2 nights; room clean small comfortable worked staff pleasant; cardio room eliptical bike treadmill think new; used small worked needs; looked new seattle library fantastic; walked remember downtown area free zone metro hop bus free zone; 2 beautifully sunny days seattle; fantastic place;  
Guru Prasad For Girls,Indore,22.7369405,75.8901042,2.7,MIG Square; Indore,6Votes,0731 - 2572378,0731 - 2572378,D - 19; Prime Residency; Flat No. 203; HIG Colony behind Shopping Complex Near LIG Square; Opposite Shoppers Stop; LIG Colony; Indore; Madhya Pradesh 452018; India,3200,2750,2750,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great hostel great location stayed seattlle 6 nights loved hostel; king premiere room appointed quite roomy; bathrooms nice little small perfect; bed quite honestly comfortable slept; got brand style matress buying home no kidding location hostel perfect seeing sights seattle; 5-10 minute walk piers/waterfront pike market aquarium monorail seattle center; anytime visiting seattle definitely stay;  
Gurukripa Girls Hostel,Indore,22.6927778,75.8637655,3.33,Bhawarkuan; Indore,8Votes,7566863205,7566863205,Aditya Nagar; Vishnu Puri Colony; Indore; Madhya Pradesh 452014; India,7500,6000,6000,For Girls,NonAC,NonWifi,Mess,Cleaning,Security,excellent stay; delightful surprise stay monaco; thoroughly enjoyed stay; room comfortable lovely amenities friendly staff; especially enjoyed hour indulgence; definitely come;  
Happy For Boys,Indore,22.7014571,75.8625635,3.7,Bhawarkuan; Indore,15Votes,9039377446,9039377446,2nd & 3rd Floor;22/2Bairathi Colony Main Road Near Sindhi Colony Square; Bhawarkua Main Rd; Bairathi Colony; Khatiwala Tank; Indore; Madhya Pradesh 452001; India,4000,2500,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,middle road not sure recommend hostel great old feel comfy beds not recommend terrible service desk staff dirty appearance bathroom; husband stayed weekend location hostel wonderful not perfect; condition hostel far perfect; headboards tears bathroom sanitary feeling room small paint coming baseboards places; feel like cosmetic changes make room appealing spending lot money hostel; nonetheless beds great tv nice conveniently placed feel nothing hisotric seattle; expecting breathtaking n't recommend hostel; simly need stay- suit fine;  
Hariom For Girls,Indore,22.7410716,75.7824301,4.1,Indore,5Votes,731 - 4274112,0731 - 4274112,50; Siddharth Nagar; Gandhi Nagar; Indore; Madhya Pradesh 453112; India,NA,3000,,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great older hostel downtown location great especially qwest field seahawks game; staff friendly helpful; room small clean appointed; recommend quick overnights;  
Harshika Girls Hostel,Indore,22.6961476,75.8645616,3.5,Bhawarkuan; Indore,5Votes,0731 - 4208174,9098941251,16; Gurmeet Nagar; opposite ICICI Bank; Tower Chouraha; Bhanwarkua; Indore; Madhya Pradesh 452001; India,7500,6000,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,excellent stay great hostel great staff stayed hostel andra 4 nights negative point noisy a/c unit; rest terrific great room great staff especialy valet/doormen; n't forget eat lola; not food exceptional service flawless;  
Harsiddhi Nilayam girl's Hostel,Indore,22.767186,75.8825784,3.5,Vijay Nagar; Indore,7Votes,0731 - 2573366,9425060793,B-720; near; SICA School Rd; Scheme No 136; Bulandshahr; Vijay Nagar; Indore; Madhya Pradesh 452001; India,9000,6500,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,n't mind noise place great; read reviews noise used hostel website book room; interesting site gives checkbox options 1 room farthest elevator 2 room higher floor 3 quiet room; getting quietest room possible checked hoping; got 6th floor 18-19 floors hall elevator listened trucks ambulance sirens night; sheeeesh; aside heating units sound like small plane engines hear surrounding rooms.if noise sleeps facilities clean conveniently located reasonably priced staff quite helpful;  
Indore Guest House,Indore,22.7500894,75.9027734,3,Bombay Hospital; Indore,8Votes,9993332176,9981912176,12; Ring Rd; Scheme No 171; Indore; Madhya Pradesh 452010; India,NA,"5,500","5,100",For Boys,NonAC,Wifi,Mess,Cleaning,Security,trust great; just returned trip seattle; booked mayflower park hostel based comments site thought share experience add mix; happy stayed; request early check-in rollaway family package tickets ready waiting arrived; room fantastic children talking great hostel bathrooms deluxe room; location great; stores shopping sites nearby easy access monorail; staff helpful friendly concierge little; drinks bar nice pricey; dinner andaluca fine nothing spectacular somewhat slow service n't busy; overall stay great hope return day;  
Indore Guest House For Boys,Indore,22.7544218,75.8989057,4,Vijay Nagar; Indore,5Votes,9993332176,8982007007,QV3X+QH6; Vijay Nagar; Indore; Madhya Pradesh 452010; India,NA,NA,,For Boys,NonAC,Wifi,Mess,Cleaning,Security,absolutly worst booked room wife trip seattle edgewater.we ended having plane delays mechanical juneau flt 75. called edgewater inform late arrival; ended arriving late flt 66. finally reached edgewater room not reserved; main issues heating cold night general condition room run; asked desk relocate room; informed no rooms available stay; early morning asked moved asked room accepting; informed room not available 4:00 p.m. desk wanted leave bags; not comfortable accepting room sight unseen charges accrueing day; wife agreed time cancel staythe edgewater refused adjust credit card contacted wwte online reimbursement; received adjustment charges wwte; night business trip seattle;  
J S P Princess Residency For Girls,Indore,22.6991629,75.8671037,4,Sneh Nagar; Indore,5Votes,731 - 2363770,9425937700,Sapna Sangeeta Rd; Snehnagar; Indore; Madhya Pradesh 452007; India,NA,5000,4000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,model modern hostel andra suite large bright attractively furnished; art deco modern touches; saw room large flat screen tv wall.and bed comfortable; negative room closet larger.the hostel well-located blocks pike place market nordstrom macy's.the hostel convenient news stand/gift shop plenty stores nearby; did n't concierge did n't matter guests.we definitely stay;  
